County,Year,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft
Albany,2004,12,0,0,0,0,0,12,0,12,0
Albany,2003,6,0,0,0,0,0,6,0,6,0
Albany,2002,3,0,0,0,0,0,3,0,3,0
Albany,2001,10,0,0,0,0,0,10,0,10,0
Albany,1997,6,0,0,0,0,0,6,1,5,0
Albany,1996,3,0,0,0,0,0,3,0,3,0
Albany,1995,12,0,0,0,0,0,12,1,11,0
Albany,1994,13,0,0,0,0,0,13,8,5,0
Albany,1993,13,0,0,0,0,0,13,2,11,0
Albany,1992,6,0,0,0,0,0,6,1,5,0
Albany,1991,3,0,0,0,0,0,3,0,3,0
Albany,1990,6,0,0,0,0,0,6,0,6,0
Albany,1998,66,0,0,0,0,0,66,4,62,0
Albany,1997,128,0,0,0,0,0,128,45,83,0
Albany,1996,92,0,0,0,0,0,92,53,39,0
Albany,1995,80,0,0,0,0,0,80,30,50,0
Albany,1994,91,0,0,0,0,0,91,29,62,0
Albany,1993,12,0,0,0,0,0,12,0,12,0
Albany,1992,200,0,0,0,0,0,200,0,200,0
Albany,1991,48,0,0,0,0,0,48,6,42,0
Albany,1990,108,0,0,0,0,0,108,6,102,0
Albany,2015,2,0,0,0,0,0,2,0,2,0
Albany,2014,0,0,0,0,0,0,0,0,0,0
Albany,2013,2,0,0,0,0,0,2,0,2,0
Albany,2012,2,0,0,0,0,0,2,0,2,0
Albany,2011,2,0,0,0,0,0,2,2,0,0
Albany,2010,4,0,0,0,0,0,4,0,4,0
Albany,2009,4,0,0,0,0,0,4,0,4,0
Albany,2008,3,0,0,0,0,0,3,1,2,0
Albany,2007,3,0,0,0,0,0,3,0,3,0
Albany,2006,6,1,0,0,0,1,5,0,5,0
Albany,2005,4,0,0,0,0,0,4,0,4,0
Albany,2004,9,1,1,0,0,0,8,2,6,0
Albany,2003,5,0,0,0,0,0,5,0,5,0
Albany,2002,6,0,0,0,0,0,6,1,5,0
Albany,2001,2,0,0,0,0,0,2,1,1,0
Albany,2000,4,0,0,0,0,0,4,0,4,0
Albany,1999,16,0,0,0,0,0,16,1,15,0
Albany,1998,13,0,0,0,0,0,13,0,13,0
Albany,1997,3,0,0,0,0,0,3,0,3,0
Albany,1996,6,0,0,0,0,0,6,0,6,0
Albany,1995,5,0,0,0,0,0,5,0,5,0
Albany,1994,2,0,0,0,0,0,2,0,2,0
Albany,1993,1,0,0,0,0,0,1,0,1,0
Albany,1992,4,0,0,0,0,0,4,1,3,0
Albany,1991,2,0,0,0,0,0,2,0,2,0
Albany,1990,13,1,0,1,0,0,12,0,12,0
Albany,2015,,,,,,,,,,
Albany,2014,,,,,,,,,,
Albany,2013,,,,,,,,,,
Albany,2012,,,,,,,,,,
Albany,2011,,,,,,,,,,
Albany,2010,,,,,,,,,,
Albany,2009,,,,,,,,,,
Albany,2008,,,,,,,,,,
Albany,2007,,,,,,,,,,
Albany,2006,,,,,,,,,,
Albany,2005,,,,,,,,,,
Albany,2004,,,,,,,,,,
Albany,2003,,,,,,,,,,
Albany,2015,127,17,0,4,1,12,110,34,72,4
Albany,2014,125,9,1,0,0,8,116,19,90,7
Albany,2013,148,5,0,0,0,5,143,38,100,5
Albany,2012,168,5,1,0,0,4,163,36,124,3
Albany,2011,196,17,0,6,1,10,179,43,132,4
Albany,2010,171,12,0,2,0,10,159,22,122,15
Albany,2009,201,25,0,1,1,23,176,30,136,10
Albany,2008,136,33,0,4,3,26,103,28,74,1
Albany,2007,118,23,0,2,0,21,95,22,72,1
Albany,2006,145,32,0,1,2,29,113,25,86,2
Albany,2005,116,24,1,2,0,21,92,24,56,12
Albany,2004,136,30,1,2,9,18,106,31,73,2
Albany,2003,152,29,0,0,0,29,123,30,87,6
Albany,2002,124,20,1,0,0,19,104,36,67,1
Albany,2001,143,45,0,0,2,43,98,25,65,8
Albany,2000,128,16,0,0,0,16,112,34,62,16
Albany,1999,70,1,0,0,1,0,69,35,30,4
Albany,1998,79,16,0,3,1,12,63,39,21,3
Albany,1997,156,71,0,41,0,30,85,40,41,4
Albany,1996,126,8,0,1,0,7,118,37,79,2
Albany,1995,223,61,0,0,2,59,162,45,104,13
Albany,1994,123,28,0,0,0,28,95,34,56,5
Albany,1993,138,48,0,3,0,45,90,32,52,6
Albany,1992,148,43,1,2,0,40,105,35,59,11
Albany,1991,138,19,0,1,0,18,119,42,66,11
Albany,1990,113,20,0,1,0,19,93,20,69,4
Albany,2015,148,12,0,7,0,5,136,8,124,4
Albany,2014,169,6,4,2,0,0,163,4,157,2
Albany,2013,186,8,0,3,0,5,178,17,159,2
Albany,2012,147,13,0,6,0,7,134,8,119,7
Albany,2011,178,7,0,1,0,6,171,17,148,6
Albany,2010,242,14,0,3,2,9,228,21,199,8
Albany,2009,150,8,1,0,1,6,142,20,122,0
Albany,2008,239,18,0,4,1,13,221,18,199,4
Albany,2007,177,24,0,3,2,19,153,14,131,8
Albany,2006,262,31,0,7,0,24,231,31,182,18
Albany,2005,249,32,2,2,5,23,217,27,187,3
Albany,2004,244,18,0,2,1,15,226,30,193,3
Albany,2003,264,22,0,0,1,21,242,22,208,12
Albany,2002,302,25,0,3,4,18,277,38,225,14
Albany,2001,429,33,0,1,15,17,396,35,350,11
Albany,2000,493,17,0,1,4,12,476,75,392,9
Albany,1999,463,19,0,2,2,15,444,39,391,14
Albany,1998,617,27,0,3,7,17,590,65,515,10
Albany,1997,517,23,1,3,3,16,494,53,428,13
Albany,1996,401,32,0,3,5,24,369,89,272,8
Albany,1995,345,23,0,1,4,18,322,85,227,10
Albany,1994,347,24,0,2,2,20,323,94,211,18
Albany,1993,347,18,0,4,3,11,329,86,225,18
Albany,1992,534,16,1,1,5,9,518,105,399,14
Albany,1991,727,43,1,0,13,29,684,102,554,28
Albany,1990,765,32,0,3,6,23,733,113,580,40
Albany,2015,12,1,0,0,1,0,11,1,10,0
Albany,2014,3,1,0,0,0,1,2,2,0,0
Albany,2013,18,1,0,0,0,1,17,0,17,0
Albany,2012,21,1,0,0,0,1,20,2,17,1
Albany,2011,10,1,0,0,0,1,9,2,6,1
Albany,2010,14,0,0,0,0,0,14,3,11,0
Albany,2009,14,0,0,0,0,0,14,1,12,1
Albany,2008,26,0,0,0,0,0,26,2,24,0
Albany,2007,10,0,0,0,0,0,10,0,10,0
Albany,2006,3,2,0,0,2,0,1,0,1,0
Albany,2005,5,0,0,0,0,0,5,1,3,1
Albany,2004,0,0,0,0,0,0,0,0,0,0
Albany,2003,3,1,0,0,0,1,2,0,2,0
Albany,2002,7,0,0,0,0,0,7,3,3,1
Albany,2001,7,2,0,0,0,2,5,0,4,1
Albany,2000,6,0,0,0,0,0,6,0,6,0
Albany,1999,4,2,0,0,0,2,2,1,1,0
Albany,1998,11,0,0,0,0,0,11,2,7,2
Albany,1997,8,2,0,0,0,2,6,1,5,0
Albany,1996,15,3,0,0,1,2,12,4,7,1
Albany,1995,17,5,0,0,1,4,12,5,7,0
Albany,1994,24,4,0,1,0,3,20,2,17,1
Albany,1993,11,4,0,0,0,4,7,3,4,0
Albany,1992,1,1,0,0,0,1,0,0,0,0
Albany,1991,5,1,0,0,1,0,4,0,3,1
Albany,1990,1,1,1,0,0,0,0,0,0,0
Albany,2015,486,25,0,12,2,11,461,58,394,9
Albany,2014,484,29,0,2,6,21,455,58,386,11
Albany,2013,456,13,0,0,3,10,443,50,388,5
Albany,2012,485,16,0,2,2,12,469,64,402,3
Albany,2011,540,26,0,5,6,15,514,92,412,10
Albany,2010,515,20,0,6,1,13,495,87,399,9
Albany,2009,571,30,0,2,6,22,541,81,451,9
Albany,2008,525,20,0,4,4,12,505,75,422,8
Albany,2007,570,32,0,4,10,18,538,81,446,11
Albany,2006,594,25,0,1,5,19,569,87,465,17
Albany,2005,529,24,0,4,3,17,505,85,400,20
Albany,2004,528,22,2,1,5,14,506,86,411,9
Albany,2003,518,24,0,2,7,15,494,84,394,16
Albany,2002,625,28,0,2,8,18,597,108,471,18
Albany,2001,589,22,0,2,4,16,567,120,440,7
Albany,2000,690,31,0,4,6,21,659,126,522,11
Albany,1999,586,26,0,2,6,18,560,119,427,14
Albany,1998,568,33,0,1,10,22,535,81,443,11
Albany,1997,745,27,1,1,1,24,718,138,565,15
Albany,1996,1100,25,0,2,9,14,1075,141,922,12
Albany,1995,1000,29,0,1,10,18,971,113,843,15
Albany,1994,708,30,0,3,6,21,678,143,527,8
Albany,1993,702,49,0,1,4,44,653,94,549,10
Albany,1992,763,58,0,2,3,53,705,170,526,9
Albany,1991,585,54,0,2,7,45,531,146,375,10
Albany,1990,569,55,0,3,2,50,514,141,366,7
Albany,2015,97,5,0,0,0,5,92,17,72,3
Albany,2014,87,24,1,4,3,16,63,14,44,5
Albany,2013,125,39,0,2,0,37,86,13,69,4
Albany,2012,126,21,0,0,0,21,105,22,71,12
Albany,2011,81,20,0,0,1,19,61,11,43,7
Albany,2010,63,15,0,0,1,14,48,11,35,2
Albany,2009,98,31,1,1,2,27,67,20,45,2
Albany,2008,98,26,0,0,2,24,72,16,52,4
Albany,2007,115,35,0,5,3,27,80,13,62,5
Albany,2006,83,20,0,0,2,18,63,11,50,2
Albany,2005,89,8,0,0,1,7,81,20,56,5
Albany,2004,85,1,0,0,1,0,84,9,68,7
Albany,2003,72,3,0,1,2,0,69,10,58,1
Albany,2002,121,33,0,0,0,33,88,18,66,4
Albany,2001,90,19,0,2,0,17,71,9,55,7
Albany,2000,49,4,0,0,0,4,45,4,39,2
Albany,1999,42,4,0,0,1,3,38,9,27,2
Albany,1998,73,18,1,0,2,15,55,17,38,0
Albany,1997,90,16,0,1,1,14,74,20,50,4
Albany,1996,101,13,0,1,0,12,88,15,65,8
Albany,1995,68,5,0,0,1,4,63,7,52,4
Albany,1994,55,6,0,0,1,5,49,14,33,2
Albany,1993,62,28,0,0,0,28,34,10,22,2
Albany,1992,61,5,0,0,0,5,56,18,33,5
Albany,1991,61,20,0,1,0,19,41,12,27,2
Albany,1990,64,16,0,0,0,16,48,11,33,4
Albany,2015,268,38,0,8,10,20,230,47,166,17
Albany,2014,263,39,0,1,12,26,224,50,153,21
Albany,2013,270,27,0,1,12,14,243,65,163,15
Albany,2012,339,42,0,4,7,31,297,90,198,9
Albany,2011,333,35,1,1,11,22,298,111,174,13
Albany,2010,345,40,0,1,11,28,305,92,198,15
Albany,2009,387,50,0,3,12,35,337,93,226,18
Albany,2008,250,61,0,3,6,52,189,42,127,20
Albany,2007,239,68,0,1,4,63,171,44,114,13
Albany,2006,237,50,0,2,5,43,187,55,115,17
Albany,2005,222,64,1,1,4,58,158,44,100,14
Albany,2004,232,52,0,1,4,47,180,40,123,17
Albany,2003,246,54,0,1,4,49,192,58,114,20
Albany,2002,224,41,0,0,1,40,183,41,126,16
Albany,2001,286,47,0,6,7,34,239,65,136,38
Albany,2000,441,25,0,3,7,15,416,130,265,21
Albany,1999,455,26,1,6,8,11,429,128,254,47
Albany,1998,459,27,0,6,7,14,432,133,277,22
Albany,1997,457,29,0,2,7,20,428,119,281,28
Albany,1996,452,107,0,3,6,98,345,113,208,24
Albany,1995,519,97,1,4,8,84,422,113,279,30
Albany,1994,443,88,0,1,9,78,355,104,224,27
Albany,1993,463,106,0,1,3,102,357,124,219,14
Albany,1992,576,134,1,4,9,120,442,114,300,28
Albany,1991,573,162,1,2,3,156,411,110,277,24
Albany,1990,592,140,0,5,4,131,452,132,290,30
Albany,2015,2057,74,1,3,28,42,1983,201,1745,37
Albany,2014,2078,68,0,1,37,30,2010,187,1786,37
Albany,2013,2053,63,0,0,31,32,1990,186,1753,51
Albany,2012,2163,46,0,0,29,17,2117,214,1847,56
Albany,2011,2251,54,2,0,32,20,2197,224,1955,18
Albany,2010,2313,54,0,3,31,20,2259,228,1988,43
Albany,2009,2345,61,0,1,29,31,2284,205,2037,42
Albany,2008,2364,54,0,1,33,20,2310,239,2032,39
Albany,2007,2455,86,1,5,21,59,2369,270,2046,53
Albany,2006,2984,94,0,2,31,61,2890,310,2472,108
Albany,2005,2976,78,0,9,33,36,2898,326,2454,118
Albany,2004,2918,92,0,12,31,49,2826,323,2392,111
Albany,2003,2794,48,0,12,22,14,2746,371,2272,103
Albany,2002,2795,77,0,8,32,37,2718,364,2265,89
Albany,2001,3170,86,0,11,41,34,3084,423,2553,108
Albany,2000,3171,73,1,5,43,24,3098,432,2591,75
Albany,1999,3238,70,0,7,32,31,3168,495,2585,88
Albany,1998,2831,92,0,15,27,50,2739,399,2284,56
Albany,1997,2932,160,1,7,38,114,2772,393,2292,87
Albany,1996,1053,16,0,3,9,4,1037,136,848,53
Albany,1995,3664,69,1,9,36,23,3595,393,3049,153
Albany,1994,3829,85,0,6,53,26,3744,387,3220,137
Albany,1993,3375,78,2,7,42,27,3297,473,2726,98
Albany,1992,3595,62,0,6,34,22,3533,403,3014,116
Albany,1991,3308,66,0,7,39,20,3242,427,2714,101
Albany,1990,3216,67,1,13,19,34,3149,455,2582,112
Albany,2015,51,2,0,0,0,2,49,10,35,4
Albany,2014,49,3,0,0,0,3,46,6,37,3
Albany,2013,50,3,0,0,1,2,47,9,33,5
Albany,2012,63,4,0,2,0,2,59,15,43,1
Albany,2011,68,3,0,1,0,2,65,12,48,5
Albany,2010,65,6,0,0,0,6,59,11,43,5
Albany,2009,110,8,0,0,1,7,102,14,88,0
Albany,2008,70,4,0,3,1,0,66,16,46,4
Albany,2007,58,1,0,0,0,1,57,11,41,5
Albany,2006,63,4,0,0,2,2,59,13,40,6
Albany,2005,54,5,0,0,1,4,49,13,32,4
Albany,2004,25,2,0,0,0,2,23,6,15,2
Albany,2003,36,3,0,1,1,1,33,5,24,4
Albany,2002,60,3,0,0,0,3,57,9,45,3
Albany,2001,31,3,0,1,0,2,28,5,20,3
Albany,2000,34,9,0,0,0,9,25,7,18,0
Albany,1999,45,12,0,1,1,10,33,5,24,4
Albany,1998,61,9,0,0,2,7,52,9,42,1
Albany,1997,69,5,0,0,2,3,64,12,49,3
Albany,1996,68,5,0,0,0,5,63,21,40,2
Albany,1995,69,10,0,0,1,9,59,16,41,2
Albany,1994,76,16,0,0,1,15,60,23,36,1
Albany,1993,72,11,0,1,1,9,61,17,38,6
Allegany,2003,,,,,,,,,,
Albany,1992,120,34,0,0,0,34,86,22,56,8
Albany,1991,102,17,0,0,1,16,85,24,51,10
Albany,1990,143,31,0,2,4,25,112,23,76,13
Albany,2015,581,10,0,5,3,2,571,21,544,6
Albany,2014,680,19,0,3,4,12,661,58,598,5
Albany,2013,686,12,0,3,5,4,674,48,625,1
Albany,2012,697,24,0,5,10,9,673,52,619,2
Albany,2011,873,27,0,1,10,16,846,79,762,5
Albany,2010,993,11,0,4,3,4,982,67,906,9
Albany,2009,736,19,0,3,8,8,717,48,658,11
Albany,2008,866,24,0,0,17,7,842,74,757,11
Albany,2007,783,18,0,1,7,10,765,49,701,15
Albany,2006,800,9,0,0,4,5,791,52,730,9
Albany,2005,1051,45,1,3,10,31,1006,80,921,5
Albany,2004,1047,30,0,2,16,12,1017,75,914,28
Albany,2003,1070,23,0,0,7,16,1047,89,938,20
Albany,2002,1039,26,0,0,9,17,1013,61,933,19
Albany,2001,1208,29,1,2,13,13,1179,101,1057,21
Albany,2000,1192,20,0,0,10,10,1172,70,1082,20
Albany,1999,983,25,0,4,3,18,958,91,841,26
Albany,1998,887,19,0,1,16,2,868,110,741,17
Albany,1997,880,15,0,3,6,6,865,103,739,23
Albany,1996,935,29,0,4,19,6,906,103,777,26
Albany,1995,712,22,0,0,9,13,690,75,591,24
Albany,1994,616,39,0,3,4,32,577,71,476,30
Albany,1993,451,26,0,2,4,20,425,67,348,10
Albany,1992,543,19,0,1,7,11,524,68,442,14
Albany,1991,415,30,0,3,8,19,385,70,302,13
Albany,1990,497,41,0,2,6,33,456,88,348,20
Albany,2015,131,4,0,1,0,3,127,17,106,4
Albany,2014,123,5,0,1,2,2,118,9,106,3
Albany,2013,108,6,0,1,1,4,102,13,88,1
Albany,2012,173,8,0,1,4,3,165,37,123,5
Albany,2011,145,5,0,1,3,1,140,23,115,2
Albany,2010,175,6,0,0,2,4,169,27,141,1
Albany,2009,166,9,0,0,3,6,157,18,129,10
Albany,2008,148,10,0,2,4,4,138,30,103,5
Albany,2007,185,9,1,1,4,3,176,36,128,12
Albany,2006,152,5,0,0,1,4,147,20,120,7
Albany,2005,127,12,0,1,2,9,115,16,92,7
Albany,2004,165,8,0,1,7,0,157,19,131,7
Albany,2003,119,2,0,0,1,1,117,20,92,5
Albany,2002,155,6,0,0,2,4,149,16,127,6
Albany,2001,108,4,0,0,3,1,104,15,83,6
Albany,2000,103,4,0,0,4,0,99,13,82,4
Albany,1999,112,2,0,0,0,2,110,14,82,14
Albany,1998,141,8,0,0,1,7,133,24,101,8
Albany,1997,138,6,0,0,3,3,132,13,111,8
Albany,1996,75,12,0,1,4,7,63,11,43,9
Albany,1995,107,10,0,0,4,6,97,13,77,7
Albany,1994,141,13,0,1,6,6,128,18,105,5
Albany,1993,159,16,0,1,1,14,143,30,108,5
Albany,1992,188,18,0,1,5,12,170,37,126,7
Albany,1991,188,16,0,0,6,10,172,26,132,14
Albany,1990,178,19,0,2,4,13,159,28,124,7
Albany,2015,,,,,,,,,,
Albany,2014,,,,,,,,,,
Albany,2013,,,,,,,,,,
Albany,2012,,,,,,,,,,
Albany,2011,,,,,,,,,,
Albany,2010,,,,,,,,,,
Albany,2009,,,,,,,,,,
Albany,2008,,,,,,,,,,
Albany,2007,,,,,,,,,,
Albany,2006,3,1,0,0,0,1,2,1,1,0
Albany,2005,45,4,0,0,0,4,41,12,29,0
Albany,2004,36,1,0,0,1,0,35,5,27,3
Albany,2003,19,1,0,0,1,0,18,4,14,0
Albany,2002,22,5,0,0,0,5,17,3,14,0
Albany,2001,47,5,0,0,0,5,42,1,38,3
Albany,2000,43,3,0,0,0,3,40,1,39,0
Albany,1999,33,5,0,1,0,4,28,2,26,0
Albany,1998,68,18,0,0,1,17,50,6,44,0
Albany,1997,62,8,0,0,0,8,54,7,45,2
Albany,1996,119,1,0,0,1,0,118,25,93,0
Albany,1995,128,2,0,0,1,1,126,16,110,0
Albany,1994,146,2,0,0,0,2,144,25,116,3
Albany,1993,121,2,0,0,0,2,119,12,102,5
Albany,1992,136,2,0,0,1,1,134,27,107,0
Albany,1991,113,4,0,0,0,4,109,25,82,2
Albany,1990,146,5,0,0,0,5,141,17,119,5
Albany,2015,168,5,0,1,1,3,163,9,154,0
Albany,2014,238,3,0,1,2,0,235,10,225,0
Albany,2013,203,5,0,1,1,3,198,4,194,0
Albany,2012,202,7,0,3,2,2,195,21,174,0
Albany,2011,251,9,0,1,1,7,242,32,210,0
Albany,2010,237,3,0,1,0,2,234,60,170,4
Albany,2009,219,6,0,2,1,3,213,57,154,2
Albany,2008,223,12,0,3,3,6,211,38,173,0
Albany,2007,184,3,0,2,0,1,181,17,164,0
Albany,2006,264,11,0,7,1,3,253,21,232,0
Albany,2005,253,7,0,2,2,3,246,30,216,0
Albany,2004,286,4,0,1,1,2,282,19,259,4
Albany,2003,276,7,0,1,2,4,269,23,243,3
Albany,2002,288,10,0,0,4,6,278,31,247,0
Albany,2001,94,7,0,0,1,6,87,18,69,0
Albany,2000,388,5,0,0,2,3,383,47,330,6
Albany,1999,305,4,0,0,1,3,301,14,281,6
Albany,1998,234,9,0,0,2,7,225,13,211,1
Albany,1997,311,0,0,0,0,0,311,23,288,0
Albany,1996,354,8,0,0,8,0,346,52,293,1
Albany,1995,464,8,0,0,4,4,456,118,335,3
Albany,1994,520,17,0,0,9,8,503,144,356,3
Albany,1993,469,12,0,1,4,7,457,108,344,5
Albany,1992,520,11,0,1,5,5,509,93,411,5
Albany,1991,707,18,0,2,5,11,689,182,503,4
Albany,1990,476,16,0,1,8,7,460,136,321,3
Albany,1998,18,0,0,0,0,0,18,1,17,0
Albany,1997,14,0,0,0,0,0,14,0,14,0
Albany,1996,23,0,0,0,0,0,23,0,23,0
Albany,1995,15,0,0,0,0,0,15,2,13,0
Albany,1994,9,0,0,0,0,0,9,0,9,0
Albany,1993,18,0,0,0,0,0,18,0,18,0
Albany,1992,26,0,0,0,0,0,26,1,25,0
Albany,1991,12,0,0,0,0,0,12,0,12,0
Albany,1990,29,0,0,0,0,0,29,0,29,0
Albany,2015,235,25,0,5,3,17,210,37,161,12
Albany,2014,222,22,0,4,10,8,200,32,152,16
Albany,2013,271,27,1,3,11,12,244,58,165,21
Albany,2012,263,26,0,3,14,9,237,53,173,11
Albany,2011,258,26,0,0,10,16,232,33,187,12
Albany,2010,283,23,0,0,2,21,260,42,201,17
Albany,2009,360,40,1,3,9,27,320,57,249,14
Albany,2008,307,33,0,1,8,24,274,47,217,10
Albany,2007,299,37,0,6,10,21,262,64,180,18
Albany,2006,274,32,0,0,11,21,242,54,171,17
Albany,2005,231,37,0,4,11,22,194,38,144,12
Albany,2004,270,39,0,2,11,26,231,52,163,16
Albany,2003,247,25,2,0,5,18,222,50,152,20
Albany,2002,239,29,1,1,6,21,210,54,142,14
Albany,2001,216,28,0,0,13,15,188,42,133,13
Albany,2000,266,36,0,0,15,21,230,37,175,18
Albany,1999,318,40,0,4,4,32,278,66,201,11
Albany,1998,287,39,0,0,12,27,248,65,177,6
Albany,1997,289,44,0,4,10,30,245,45,185,15
Albany,1996,68,2,0,0,0,2,66,16,44,6
Albany,1995,394,16,0,0,12,4,378,101,262,15
Albany,1994,345,17,0,4,5,8,328,58,250,20
Albany,1993,363,11,0,0,5,6,352,85,251,16
Albany,1992,459,16,0,1,10,5,443,89,319,35
Albany,1991,414,13,0,1,8,4,401,96,283,22
Albany,1990,405,23,1,3,10,9,382,94,266,22
Albany,2015,8367,1008,6,92,283,627,7359,930,6222,207
Albany,2014,9159,995,14,45,313,623,8164,1129,6803,232
Albany,2013,9453,1002,9,46,292,655,8451,1203,6997,251
Albany,2012,9972,1012,6,67,313,626,8960,1501,7197,262
Albany,2011,10725,1163,7,46,395,715,9562,1571,7739,252
Albany,2010,11036,1182,3,61,367,751,9854,1594,7906,354
Albany,2009,10613,1289,12,59,400,818,9324,1521,7451,352
Albany,2008,10750,1356,10,73,454,819,9394,1660,7403,331
Albany,2007,10584,1468,5,75,437,951,9116,1585,7104,427
Albany,2006,11935,1545,5,71,455,1014,10390,1742,8204,444
Albany,2005,12119,1615,13,96,511,995,10504,2044,7890,570
Cayuga,2013,,,,,,,,,,
Albany,2004,12710,1431,14,77,481,859,11279,1991,8612,676
Albany,2003,11977,1402,11,51,436,904,10575,2068,7883,624
Albany,2002,12784,1706,10,78,547,1071,11078,2180,8140,758
Albany,2001,13733,1649,7,83,533,1026,12084,2427,8889,768
Albany,2000,14096,1353,12,79,487,775,12743,2489,9619,635
Albany,1999,14145,1133,13,73,435,612,13012,2845,9509,658
Albany,1998,13733,1310,3,103,475,729,12423,2767,9077,579
Albany,1997,14542,1450,10,128,503,809,13092,2789,9674,629
Albany,1996,13676,1408,11,64,557,776,12268,2911,8645,712
Albany,1995,16699,1606,9,77,643,877,15093,3178,11030,885
Albany,1994,16724,1771,13,102,646,1010,14953,3401,10744,808
Albany,1993,15139,1669,8,80,557,1024,13470,3235,9562,673
Albany,1992,16249,1588,11,96,561,920,14661,3450,10406,805
Albany,1991,15464,1674,13,90,584,987,13790,3271,9768,751
Albany,1990,14418,1524,12,119,450,943,12894,3163,9021,710
Allegany,2015,36,4,0,2,0,2,32,2,30,0
Allegany,2014,42,10,1,0,0,9,32,6,25,1
Allegany,2013,51,5,0,0,3,2,46,10,36,0
Allegany,2012,49,4,0,1,0,3,45,9,35,1
Allegany,2011,47,4,0,0,2,2,43,7,34,2
Allegany,2010,60,7,0,2,1,4,53,14,39,0
Allegany,2009,43,1,0,0,0,1,42,8,31,3
Allegany,2008,59,1,0,0,0,1,58,10,47,1
Allegany,2007,51,4,0,0,0,4,47,9,38,0
Allegany,2006,57,8,0,1,0,7,49,9,38,2
Allegany,2005,72,3,0,1,0,2,69,11,57,1
Allegany,2004,75,8,0,3,1,4,67,13,53,1
Allegany,2003,61,4,0,0,1,3,57,13,44,0
Allegany,2002,89,2,0,0,0,2,87,19,68,0
Allegany,2001,81,7,0,0,0,7,74,7,67,0
Allegany,2000,68,8,0,1,0,7,60,10,49,1
Allegany,1999,72,7,0,0,0,7,65,14,49,2
Allegany,1998,96,9,0,2,1,6,87,25,60,2
Allegany,1997,111,7,0,0,0,7,104,30,72,2
Allegany,1996,142,11,0,3,0,8,131,38,90,3
Allegany,1995,198,28,0,5,1,22,170,41,122,7
Allegany,1994,239,23,0,3,0,20,216,38,172,6
Allegany,1993,128,23,0,3,1,19,105,20,83,2
Allegany,1992,139,11,0,0,1,10,128,11,116,1
Allegany,1991,170,11,0,0,0,11,159,34,119,6
Allegany,1990,137,14,0,3,1,10,123,19,101,3
Allegany,1996,1,0,0,0,0,0,1,0,1,0
Allegany,2015,0,0,0,0,0,0,0,0,0,0
Allegany,2014,0,0,0,0,0,0,0,0,0,0
Allegany,2013,0,0,0,0,0,0,0,0,0,0
Allegany,2012,0,0,0,0,0,0,0,0,0,0
Allegany,2011,0,0,0,0,0,0,0,0,0,0
Allegany,2010,0,0,0,0,0,0,0,0,0,0
Allegany,2009,0,0,0,0,0,0,0,0,0,0
Allegany,2008,0,0,0,0,0,0,0,0,0,0
Allegany,2007,0,0,0,0,0,0,0,0,0,0
Allegany,2006,0,0,0,0,0,0,0,0,0,0
Allegany,2005,0,0,0,0,0,0,0,0,0,0
